,a,b,c
SantosPNGLNG,2,3,0.666666667
Barrosa,2,2,1
Santos2018,2,2,1
巴新,2,2,1
SantosLimited,2,5,0.4
暂停营业,2,4,0.5
宏华,2,6,0.333333333
重要文件,2,11,0.181818182
百货公司,2,5,0.4
朱雀,2,7,0.285714286
乙亥,2,3,0.666666667
Niugini,2,2,1
挪用资金,2,2,1
三门,2,12,0.166666667
误,2,12,0.166666667
回路,2,2,1
环网柜,2,2,1
历史沿革,2,5,0.4
姜波,2,3,0.666666667
林文智,2,6,0.333333333
张化桥,2,3,0.666666667
摄像,2,4,0.5
英豪,2,6,0.333333333
诚佳,2,3,0.666666667
公前,2,2,1
焊业,2,13,0.153846154
产权证,2,4,0.5
蓄能式,2,2,1
岐岭,2,2,1
运载火箭,2,10,0.2
三英,2,13,0.153846154
中湘,2,2,1
陈东辉,2,4,0.5
启创,2,12,0.166666667
前向,2,2,1
林绮霞,2,2,1
会计年度,2,11,0.181818182
发酵,2,6,0.333333333
万丰摩轮,2,6,0.333333333
MWp,2,5,0.4
陈学道,2,8,0.25
外用,2,2,1
秩龙,2,3,0.666666667
福彩,2,4,0.5
临沂市,2,8,0.25
兴宁市,2,7,0.285714286
奔马,2,9,0.222222222
拓卡,2,4,0.5
150478,2,2,1
胶州,2,7,0.285714286
晏小平,2,7,0.285714286
万凯,2,2,1
三幅,2,5,0.4
天晟新,2,14,0.142857143
电讯,2,8,0.25
丽水,2,13,0.153846154
省农业厅,2,4,0.5
软件工程,2,7,0.285714286
添工,2,3,0.666666667
轿辰,2,2,1
LOGO,2,11,0.181818182
黄明松,2,2,1
与拉豪,2,6,0.333333333
扣减,2,3,0.666666667
熊必琳,2,2,1
成仁,2,3,0.666666667
阿德勒,2,8,0.25
25.96%,2,3,0.666666667
养老金,2,5,0.4
变,2,3,0.666666667
竞红,2,11,0.181818182
李旺荣,2,5,0.4
养元智汇,2,8,0.25
祝祥军,2,9,0.222222222
工艺技术,2,7,0.285714286
甬大,2,2,1
宏巨,2,4,0.5
北京市第一中级人民法院,2,5,0.4
张利萍,2,3,0.666666667
深圳湾,2,6,0.333333333
151224,2,2,1
民,2,10,0.2
